Tip,test,,,Tilt,test,,,,,
476,475.89,-0.11,,1451,1451.11,0.11,,,,
476,475.89,-0.11,,988,987.8,-0.2,,,,
1864,1864,0,,860,859.93,-0.07,,,,
1699,1699.16,0.16,,625,625.14,0.14,,,,
2271,2271.18,0.18,,2154,2153.56,-0.44,,,,
1885,1884.64,-0.36,,1132,1131.75,-0.25,,,,
2246,2245.52,-0.48,,1545,1545.17,0.17,,,,
340,339.78,-0.22,,2100,2099.87,-0.13,,,,
801,801.03,0.03,,515,514.97,-0.03,,,,
1798,1798.36,0.36,,1851,1851.42,0.42,,,,
1555,1555.06,0.06,,444,443.86,-0.14,,,,
1767,1767.17,0.17,,1933,1932.9,-0.1,,,,
1502,1502.07,0.07,,284,283.71,-0.29,,,,
1861,1860.67,-0.33,,1581,1580.83,-0.17,,,,
853,852.86,-0.14,,2051,2051.07,0.07,,,,
1425,1425.06,0.06,,1732,1732.02,0.02,,,,
1901,1900.63,-0.37,,1915,1914.9,-0.1,,,,
1781,1781.1,0.1,,525,525.2,0.2,,,,
151,150.77,-0.23,,2129,2128.84,-0.16,,,,
941,941.11,0.11,,1759,1759.05,0.05,,,,
238,237.83,-0.17,,1078,1077.69,-0.31,,,,
1124,1123.61,-0.39,,2223,2223.14,0.14,,,,
1140,1140.06,0.06,,1607,1607.03,0.03,,,,
1896,1896.15,0.15,,1041,1041.1,0.1,,,,
1299,1299.07,0.07,,1886,1885.89,-0.11,,,,
928,928.07,0.07,,987,986.81,-0.19,,,,
260,260.13,0.13,,437,436.88,-0.12,,,,
2263,2263.16,0.16,,65,64.63,-0.37,,,,
473,472.78,-0.22,,1868,1867.93,-0.07,,,,
1473,1473.42,0.42,,1101,1100.55,-0.45,,,,
973,972.92,-0.08,,1757,1756.79,-0.21,,,,
2085,2085.14,0.14,,1394,1394.16,0.16,,,,
479,478.89,-0.11,,1431,1431.15,0.15,,,,
1312,1312.25,0.25,,492,491.91,-0.09,,,,
665,664.73,-0.27,,938,938.05,0.05,,,,
1692,1692,0,,718,718.13,0.13,,,,
1961,1960.5,-0.5,,1546,1545.83,-0.17,,,,
474,474.33,0.33,,1671,1670.92,-0.08,,,,
175,175.46,0.46,,1569,1568.77,-0.23,,,,
1334,1333.98,-0.02,,920,919.96,-0.04,,,,
1609,1608.59,-0.41,,1838,1838.44,0.44,,,,
860,859.87,-0.13,,585,585.13,0.13,,,,
1315,1315.16,0.16,,1021,1021.02,0.02,,,,
1692,1691.92,-0.08,,940,939.76,-0.24,,,,
1609,1608.99,-0.01,,1370,1370.41,0.41,,,,
2211,2210.85,-0.15,,561,561.22,0.22,,,,
683,683.24,0.24,,1156,1155.94,-0.06,,,,
269,268.98,-0.02,,449,448.83,-0.17,,,,
1450,1450.2,0.2,,12,11.87,-0.13,,,,
2207,2206.68,-0.32,,657,657.13,0.13,,,,
1115,1114.82,-0.18,,2133,2133,0,,,,
932,931.78,-0.22,,2265,2265.14,0.14,,,,
192,192.44,0.44,,508,507.8,-0.2,,,,
1246,1245.79,-0.21,,43,43.02,0.02,,,,
61,60.96,-0.04,,1416,1415.83,-0.17,,,,
1946,1945.68,-0.32,,1501,1500.96,-0.04,,,,
2143,2143.44,0.44,,323,322.68,-0.32,,,,
1737,1737.06,0.06,,59,58.72,-0.28,,,,
608,608.31,0.31,,1216,1216.4,0.4,,,,
894,894.04,0.04,,826,825.84,-0.16,,,,
1252,1252,0,,1000,999.95,-0.05,,,,
1887,1886.74,-0.26,,1048,1047.91,-0.09,,,,
874,873.92,-0.08,,171,170.83,-0.17,,,,
1406,1406.39,0.39,,219,218.98,-0.02,,,,
1592,1592.02,0.02,,1384,1383.74,-0.26,,,,
35,34.85,-0.15,,1162,1162.11,0.11,,,,
1522,1521.94,-0.06,,1361,1360.84,-0.16,,,,
2119,2118.92,-0.08,,890,889.69,-0.31,,,,
1451,1451.35,0.35,,1018,1017.91,-0.09,,,,
1617,1616.99,-0.01,,603,602.93,-0.07,,,,
1630,1629.89,-0.11,,110,109.87,-0.13,,,,
687,687.03,0.03,,1983,1982.79,-0.21,,,,
903,903.33,0.33,,2011,2011.01,0.01,,,,
652,652.48,0.48,,1801,1801.08,0.08,,,,
1169,1168.84,-0.16,,1301,1301.02,0.02,,,,
370,370.07,0.07,,1746,1745.85,-0.15,,,,
1394,1393.96,-0.04,,445,445.02,0.02,,,,
2282,2282.05,0.05,,852,851.53,-0.47,,,,
944,944.09,0.09,,1106,1106.41,0.41,,,,
84,83.92,-0.08,,235,235.01,0.01,,,,
89,88.92,-0.08,,461,460.99,-0.01,,,,
1030,1029.63,-0.37,,755,754.88,-0.12,,,,
1461,1461.04,0.04,,1651,1650.66,-0.34,,,,
1072,1072.24,0.24,,1094,1093.67,-0.33,,,,
377,376.85,-0.15,,1162,1162.11,0.11,,,,
868,867.89,-0.11,,70,70.15,0.15,,,,
1880,1880.29,0.29,,233,232.65,-0.35,,,,
1328,1327.88,-0.12,,1928,1928.32,0.32,,,,
129,129.36,0.36,,293,293.17,0.17,,,,
743,743.11,0.11,,1300,1299.69,-0.31,,,,
1733,1732.88,-0.12,,1847,1847.02,0.02,,,,
1779,1779.01,0.01,,243,242.99,-0.01,,,,
1130,1129.78,-0.22,,2287,2286.87,-0.13,,,,
160,160.3,0.3,,2032,2031.62,-0.38,,,,
452,452.12,0.12,,1228,1227.71,-0.29,,,,
1194,1193.68,-0.32,,530,529.81,-0.19,,,,
1818,1818.2,0.2,,1973,1972.87,-0.13,,,,
2018,2017.71,-0.29,,1930,1929.77,-0.23,,,,
1730,1729.82,-0.18,,625,625.08,0.08,,,,
1539,1538.98,-0.02,,1185,1184.81,-0.19,,,,
1288,1288.12,0.12,,1325,1324.85,-0.15,,,,
464,463.71,-0.29,,67,66.62,-0.38,,,,
684,684.09,0.09,,842,842.39,0.39,,,,
424,424.02,0.02,,2037,2036.52,-0.48,,,,
871,871.16,0.16,,385,384.99,-0.01,,,,
565,565.47,0.47,,266,265.83,-0.17,,,,
1092,1092.16,0.16,,900,899.85,-0.15,,,,
1982,1982.21,0.21,,2260,2260.12,0.12,,,,
1309,1308.89,-0.11,,1150,1150.1,0.1,,,,
1722,1722.2,0.2,,566,565.88,-0.12,,,,
642,642.18,0.18,,2262,2261.97,-0.03,,,,
1374,1374.14,0.14,,194,193.87,-0.13,,,,
9,9.21,0.21,,43,43,0,,,,
716,715.68,-0.32,,463,462.8,-0.2,,,,
1365,1365.03,0.03,,1448,1447.5,-0.5,,,,
2048,2047.78,-0.22,,1245,1245.1,0.1,,,,
2003,2002.81,-0.19,,89,89.1,0.1,,,,
1068,1067.87,-0.13,,1779,1779.01,0.01,,,,
816,815.99,-0.01,,580,580.11,0.11,,,,
2049,2049.05,0.05,,1948,1948.28,0.28,,,,
1335,1335.33,0.33,,287,286.5,-0.5,,,,
1477,1476.91,-0.09,,615,615.12,0.12,,,,
185,185.32,0.32,,2260,2260.2,0.2,,,,
560,560.25,0.25,,1618,1618.18,0.18,,,,
872,871.6,-0.4,,1442,1441.95,-0.05,,,,
1852,1852.16,0.16,,613,613.11,0.11,,,,
778,778.05,0.05,,749,749.02,0.02,,,,
236,235.96,-0.04,,2216,2216.19,0.19,,,,
1314,1313.56,-0.44,,1240,1239.68,-0.32,,,,
294,294.18,0.18,,591,590.81,-0.19,,,,
692,691.95,-0.05,,2060,2059.92,-0.08,,,,
1400,1400.21,0.21,,1355,1354.93,-0.07,,,,
1543,1542.61,-0.39,,888,887.79,-0.21,,,,
904,904.04,0.04,,1888,1888.21,0.21,,,,
614,613.87,-0.13,,522,521.87,-0.13,,,,
35,34.85,-0.15,,1509,1509,0,,,,
1099,1098.83,-0.17,,307,306.67,-0.33,,,,
980,979.51,-0.49,,399,398.9,-0.1,,,,
1818,1818.26,0.26,,2063,2062.88,-0.12,,,,
910,909.94,-0.06,,1067,1067.08,0.08,,,,
2139,2138.82,-0.18,,84,83.7,-0.3,,,,
2124,2123.9,-0.1,,360,359.93,-0.07,,,,
939,938.91,-0.09,,1329,1328.84,-0.16,,,,
1390,1390.33,0.33,,2085,2085.06,0.06,,,,
555,555.21,0.21,,1099,1099.11,0.11,,,,
1487,1486.59,-0.41,,658,658.1,0.1,,,,
1135,1135.04,0.04,,371,370.86,-0.14,,,,
549,549.1,0.1,,719,718.62,-0.38,,,,
1734,1733.69,-0.31,,2035,2034.58,-0.42,,,,
1927,1926.91,-0.09,,2189,2189,0,,,,
2112,2112.19,0.19,,174,174.01,0.01,,,,
880,879.95,-0.05,,1691,1691.44,0.44,,,,
1924,1923.61,-0.39,,1754,1754.11,0.11,,,,
808,808.02,0.02,,32,31.79,-0.21,,,,
28,28.08,0.08,,2254,2253.91,-0.09,,,,
1418,1418.43,0.43,,1166,1166.1,0.1,,,,
449,448.87,-0.13,,1791,1791.22,0.22,,,,
1644,1643.68,-0.32,,1042,1042.07,0.07,,,,
353,352.98,-0.02,,1342,1341.72,-0.28,,,,
610,610.02,0.02,,1257,1256.94,-0.06,,,,
1482,1481.79,-0.21,,1828,1828.03,0.03,,,,
364,364.01,0.01,,831,830.68,-0.32,,,,
1970,1969.77,-0.23,,1736,1736.07,0.07,,,,
1212,1212.21,0.21,,729,729.06,0.06,,,,
1339,1338.78,-0.22,,2175,2174.86,-0.14,,,,
715,715.03,0.03,,597,597.14,0.14,,,,
353,353.02,0.02,,898,898.11,0.11,,,,
568,567.89,-0.11,,920,919.9,-0.1,,,,
906,905.91,-0.09,,831,830.72,-0.28,,,,
778,778.03,0.03,,567,566.82,-0.18,,,,
1947,1946.71,-0.29,,1302,1301.75,-0.25,,,,
1038,1037.95,-0.05,,1919,1918.71,-0.29,,,,
931,931.27,0.27,,339,338.65,-0.35,,,,
807,807.2,0.2,,2255,2254.73,-0.27,,,,
1294,1293.57,-0.43,,1980,1980.09,0.09,,,,
659,658.75,-0.25,,712,712.45,0.45,,,,
191,190.86,-0.14,,102,101.8,-0.2,,,,
202,201.79,-0.21,,796,795.83,-0.17,,,,
1231,1230.95,-0.05,,963,962.84,-0.16,,,,
527,527.03,0.03,,1129,1128.77,-0.23,,,,
615,614.54,-0.46,,910,910.15,0.15,,,,
1161,1160.78,-0.22,,458,457.52,-0.48,,,,
1517,1517.07,0.07,,402,401.76,-0.24,,,,
839,839.23,0.23,,526,525.7,-0.3,,,,
416,415.94,-0.06,,2213,2213.07,0.07,,,,
1139,1138.67,-0.33,,1518,1517.89,-0.11,,,,
1451,1451.41,0.41,,1634,1634.09,0.09,,,,
6,6.07,0.07,,337,337.22,0.22,,,,
1605,1604.98,-0.02,,114,113.68,-0.32,,,,
1624,1624.13,0.13,,584,583.58,-0.42,,,,
392,391.78,-0.22,,1109,1108.73,-0.27,,,,
2260,2260.44,0.44,,2208,2208.13,0.13,,,,
1405,1404.94,-0.06,,1019,1018.88,-0.12,,,,
1627,1627.17,0.17,,869,868.74,-0.26,,,,
2287,2287.17,0.17,,1311,1311.02,0.02,,,,
489,488.95,-0.05,,1430,1430.22,0.22,,,,
466,466.13,0.13,,839,838.58,-0.42,,,,
1630,1629.51,-0.49,,289,289.04,0.04,,,,
2005,2004.73,-0.27,,1453,1452.82,-0.18,,,,
519,519.01,0.01,,147,146.72,-0.28,,,,
2259,2259.01,0.01,,1929,1929.09,0.09,,,,
299,298.71,-0.29,,1119,1119.19,0.19,,,,
1089,1089.28,0.28,,957,956.93,-0.07,,,,
886,885.98,-0.02,,117,116.98,-0.02,,,,
1138,1137.6,-0.4,,453,453.09,0.09,,,,
845,844.83,-0.17,,1971,1970.82,-0.18,,,,
1050,1050.31,0.31,,1020,1019.95,-0.05,,,,
131,130.85,-0.15,,480,479.84,-0.16,,,,
1405,1405.14,0.14,,1852,1851.96,-0.04,,,,
1224,1224.14,0.14,,1554,1553.81,-0.19,,,,
1575,1575.04,0.04,,1778,1777.94,-0.06,,,,
1474,1473.85,-0.15,,1435,1434.64,-0.36,,,,
700,700.07,0.07,,1817,1816.7,-0.3,,,,
676,676.04,0.04,,659,658.53,-0.47,,,,
1937,1936.97,-0.03,,900,899.99,-0.01,,,,
1519,1518.8,-0.2,,814,813.73,-0.27,,,,
2199,2198.93,-0.07,,335,334.72,-0.28,,,,
496,495.76,-0.24,,180,180.14,0.14,,,,
605,605.45,0.45,,1347,1346.82,-0.18,,,,
607,606.72,-0.28,,673,673.16,0.16,,,,
756,755.77,-0.23,,1940,1940.22,0.22,,,,
372,371.87,-0.13,,148,148.33,0.33,,,,
723,722.93,-0.07,,353,353.16,0.16,,,,
2240,2240.14,0.14,,1370,1369.87,-0.13,,,,
997,996.77,-0.23,,1018,1017.98,-0.02,,,,
926,925.63,-0.37,,1107,1107.2,0.2,,,,
194,194.29,0.29,,859,858.82,-0.18,,,,
874,874.38,0.38,,1147,1147.13,0.13,,,,
1297,1296.71,-0.29,,2229,2229.07,0.07,,,,
503,503.06,0.06,,858,857.92,-0.08,,,,
411,411.02,0.02,,1724,1723.89,-0.11,,,,
375,374.79,-0.21,,1148,1147.88,-0.12,,,,
342,342.09,0.09,,1489,1488.7,-0.3,,,,
1832,1831.92,-0.08,,1141,1140.94,-0.06,,,,
1331,1330.84,-0.16,,991,990.96,-0.04,,,,
1249,1248.83,-0.17,,113,113.07,0.07,,,,
317,316.81,-0.19,,182,181.71,-0.29,,,,
1530,1529.93,-0.07,,1444,1444.13,0.13,,,,
1159,1159.05,0.05,,943,942.72,-0.28,,,,
1765,1764.82,-0.18,,411,410.81,-0.19,,,,
1761,1761.13,0.13,,2166,2166.12,0.12,,,,
1825,1824.63,-0.37,,2195,2195.1,0.1,,,,
1848,1848.09,0.09,,2174,2173.94,-0.06,,,,
1869,1868.55,-0.45,,790,789.92,-0.08,,,,
2225,2225.36,0.36,,317,317.26,0.26,,,,
2296,2296.3,0.3,,2253,2252.8,-0.2,,,,
1353,1352.69,-0.31,,51,50.86,-0.14,,,,
859,859.33,0.33,,1662,1662.01,0.01,,,,
827,827.11,0.11,,1375,1375.03,0.03,,,,
1282,1281.61,-0.39,,618,617.99,-0.01,,,,
2273,2273.02,0.02,,1451,1451.49,0.49,,,,
1424,1423.87,-0.13,,1333,1332.71,-0.29,,,,
2041,2040.51,-0.49,,2253,2253.14,0.14,,,,
1667,1667.03,0.03,,2227,2227.02,0.02,,,,
964,963.51,-0.49,,711,710.62,-0.38,,,,
435,434.88,-0.12,,2057,2056.92,-0.08,,,,
1579,1578.55,-0.45,,210,209.91,-0.09,,,,
1174,1173.9,-0.1,,1697,1696.84,-0.16,,,,
801,800.95,-0.05,,1278,1277.92,-0.08,,,,
1219,1218.84,-0.16,,468,467.88,-0.12,,,,
1089,1089.01,0.01,,555,555.43,0.43,,,,
1679,1679.04,0.04,,2046,2046.03,0.03,,,,
968,967.88,-0.12,,1140,1139.79,-0.21,,,,
732,732.02,0.02,,1762,1761.89,-0.11,,,,
1331,1330.7,-0.3,,1649,1649.06,0.06,,,,
374,374,0,,2130,2129.65,-0.35,,,,
393,392.89,-0.11,,481,480.68,-0.32,,,,
352,351.79,-0.21,,884,883.92,-0.08,,,,
1560,1560.14,0.14,,1961,1960.9,-0.1,,,,
762,762.08,0.08,,342,342.01,0.01,,,,
157,156.94,-0.06,,283,282.95,-0.05,,,,
1275,1274.96,-0.04,,333,333.3,0.3,,,,
1853,1852.81,-0.19,,13,12.68,-0.32,,,,
1042,1042.02,0.02,,349,349.41,0.41,,,,
1599,1599.05,0.05,,995,994.89,-0.11,,,,
2193,2193.23,0.23,,1013,1013.5,0.5,,,,
752,752.02,0.02,,1113,1112.94,-0.06,,,,
995,994.81,-0.19,,2229,2228.77,-0.23,,,,
1905,1904.66,-0.34,,1311,1311.2,0.2,,,,
1216,1216.12,0.12,,1987,1986.9,-0.1,,,,
1550,1549.56,-0.44,,1622,1622.23,0.23,,,,
264,264.34,0.34,,1889,1888.69,-0.31,,,,
1022,1022.09,0.09,,1721,1720.93,-0.07,,,,
1412,1411.88,-0.12,,337,337.24,0.24,,,,
1999,1998.8,-0.2,,1957,1956.89,-0.11,,,,
1458,1458.24,0.24,,498,498.04,0.04,,,,
2078,2078.49,0.49,,1919,1918.83,-0.17,,,,
1068,1067.99,-0.01,,2118,2117.9,-0.1,,,,
467,466.98,-0.02,,1226,1225.91,-0.09,,,,
171,170.56,-0.44,,1864,1864.22,0.22,,,,
1113,1113.25,0.25,,2024,2023.96,-0.04,,,,
5,5.04,0.04,,508,507.8,-0.2,,,,
1108,1108.04,0.04,,632,631.92,-0.08,,,,
1886,1886.23,0.23,,2239,2238.99,-0.01,,,,
1084,1084,0,,422,421.84,-0.16,,,,
106,106.03,0.03,,42,41.97,-0.03,,,,
1093,1092.89,-0.11,,1022,1022.11,0.11,,,,
1769,1768.99,-0.01,,1320,1319.55,-0.45,,,,
1960,1959.93,-0.07,,1986,1985.98,-0.02,,,,
1283,1283.06,0.06,,2082,2081.91,-0.09,,,,
2294,2294.27,0.27,,581,581.22,0.22,,,,
1782,1781.55,-0.45,,357,357.23,0.23,,,,
3,2.92,-0.08,,1331,1331.18,0.18,,,,
1097,1097.08,0.08,,141,140.91,-0.09,,,,
1380,1379.99,-0.01,,494,494.13,0.13,,,,
739,738.96,-0.04,,1591,1591.17,0.17,,,,
2218,2217.86,-0.14,,605,605.1,0.1,,,,
148,147.82,-0.18,,355,354.69,-0.31,,,,
541,541.3,0.3,,1433,1432.96,-0.04,,,,
973,973.2,0.2,,980,979.73,-0.27,,,,
280,280.05,0.05,,384,384.04,0.04,,,,
1735,1734.56,-0.44,,559,559,0,,,,
864,863.8,-0.2,,1651,1651.12,0.12,,,,
282,281.74,-0.26,,1898,1897.9,-0.1,,,,
1800,1799.81,-0.19,,1711,1710.73,-0.27,,,,
1472,1471.57,-0.43,,968,967.86,-0.14,,,,
276,276.42,0.42,,1737,1737.16,0.16,,,,
1012,1011.61,-0.39,,779,778.87,-0.13,,,,
1317,1317.23,0.23,,481,480.71,-0.29,,,,
375,374.71,-0.29,,215,214.97,-0.03,,,,
1613,1612.98,-0.02,,1544,1544.06,0.06,,,,
2185,2184.84,-0.16,,1815,1815.11,0.11,,,,
247,247.35,0.35,,871,871.2,0.2,,,,
2216,2216.17,0.17,,1652,1651.69,-0.31,,,,
1579,1578.93,-0.07,,2084,2083.61,-0.39,,,,
